ipfs_pin_hash,keyvalues_UnseenAccuracy,keyvalues_type,keyvalues_ntp_tw,keyvalues_scalerLabelEncoder,keyvalues_datasetTraining
bafkreidzxnyfk3loanbsws5gfte5s32iw4m6qrw5pdx4e2yzjwsbviuv44,0.8571428571428571,BorrowPrediction,5_21,"{'ss': 'bafkreiezar4apmprshcdmvefrfcfrhxg7scf76nj2kc37amowke7x7rb5y', 'le': 'bafkreibzscgshq42slwii4ney54sqv75mixfzzmq3hyhonqzfzbauwu4hy'}","{'stratify': False, 'filter_cols': [49, 64, 65, 48, 33, 32, 16, 34, 1, 39, 9, 17, 0, 18, 22, 2, 30, 78, 56, 8], 'smote': True}"
bafkreiese7ohm5kf622ebjrw2wayva2p2ng5725d5t77otfnyypnpjdkvm,0.8571428571428571,BorrowPrediction,5_21,"{'ss': 'bafkreiezar4apmprshcdmvefrfcfrhxg7scf76nj2kc37amowke7x7rb5y', 'le': 'bafkreibzscgshq42slwii4ney54sqv75mixfzzmq3hyhonqzfzbauwu4hy'}","{'stratify': False, 'filter_cols': [49, 64, 65, 48, 33, 32, 16, 34, 1, 39, 9, 17, 0, 18, 22, 2, 30, 78, 56, 8], 'smote': True}"
bafkreigqyfur44zxcnnrjqcikevs7schagxmnjcopg4zdsq5e6oq2rnxse,0.8571428571428571,BorrowPrediction,5_21,"{'ss': 'bafkreiezar4apmprshcdmvefrfcfrhxg7scf76nj2kc37amowke7x7rb5y', 'le': 'bafkreibzscgshq42slwii4ney54sqv75mixfzzmq3hyhonqzfzbauwu4hy'}","{'stratify': False, 'filter_cols': [49, 64, 65, 48, 33, 32, 16, 34, 1, 39, 9, 17, 0, 18, 22, 2, 30, 78, 56, 8], 'smote': True}"
