ipfs_pin_hash,keyvalues_UnseenAccuracy,keyvalues_type,keyvalues_ntp_tw,keyvalues_scalerLabelEncoder,keyvalues_datasetTraining
bafkreiemzv5zljuiakppzvxisy7d75oezmg2ybmggvj2qgnjhwhwimbchu,0.6517857142857143,BorrowPrediction,5_14,"{'ss': 'bafkreibmizpcvyxu2tpihoahxwlbjcblu64zxmzqiwllqygvwbgaw5syiq', 'le': 'bafkreibzscgshq42slwii4ney54sqv75mixfzzmq3hyhonqzfzbauwu4hy'}","{'stratify': False, 'filter_cols': None, 'smote': False}"
bafkreidialunuyknsaarqepkcdwvboc7rwea7v76h3ipowizshvsgwoxte,0.6517857142857143,BorrowPrediction,5_14,"{'ss': 'bafkreibmizpcvyxu2tpihoahxwlbjcblu64zxmzqiwllqygvwbgaw5syiq', 'le': 'bafkreibzscgshq42slwii4ney54sqv75mixfzzmq3hyhonqzfzbauwu4hy'}","{'stratify': False, 'filter_cols': None, 'smote': False}"
bafkreigdu5fy6mqnvylieuqqf2l33maem66nuv6cmtz47rabhuoeyq4zsi,0.6517857142857143,BorrowPrediction,5_14,"{'ss': 'bafkreibmizpcvyxu2tpihoahxwlbjcblu64zxmzqiwllqygvwbgaw5syiq', 'le': 'bafkreibzscgshq42slwii4ney54sqv75mixfzzmq3hyhonqzfzbauwu4hy'}","{'stratify': False, 'filter_cols': None, 'smote': False}"
