keyvalues_Version,ipfs_pin_hash,keyvalues_UnseenAccuracy,keyvalues_type,keyvalues_ntp_tw,keyvalues_scalerLabelEncoder,keyvalues_datasetTraining,keyvalues_model
V05,bafkreielgvlxdkdjxyjt5kqjzjadn5cg4iyyf3etagj6ilc42kdehvhz2q,0.8392857142857143,BorrowPrediction,5-14,"{'ss': 'bafkreic7astxwnp5ci4jiim3qwqes7uz2sfo3syx2dqfjhuww7xksdz3nq', 'le': 'bafkreibzscgshq42slwii4ney54sqv75mixfzzmq3hyhonqzfzbauwu4hy'}","{'stratify': False, 'filter_cols': [49, 64, 65, 48, 33, 32, 16, 34, 1, 39, 9, 17, 0, 18, 22, 2, 30, 78, 56, 8], 'smote': True}","{'model_name': 'DecisionTreeClassifier', 'params': ""{'random_state': 42}"", 'index': 100}"
V05,bafkreifogp6b5rnnmdq7rwcvkqs6xtqom5br6aa3gz5ybhjxvs4bkjifiy,0.8392857142857143,BorrowPrediction,5-14,"{'ss': 'bafkreic7astxwnp5ci4jiim3qwqes7uz2sfo3syx2dqfjhuww7xksdz3nq', 'le': 'bafkreibzscgshq42slwii4ney54sqv75mixfzzmq3hyhonqzfzbauwu4hy'}","{'stratify': False, 'filter_cols': [49, 64, 65, 48, 33, 32, 16, 34, 1, 39, 9, 17, 0, 18, 22, 2, 30, 78, 56, 8], 'smote': True}","{'model_name': 'DecisionTreeClassifier', 'params': ""{'random_state': 42}"", 'index': 186}"
V05,bafkreie4qbszzisauetpthnvtaljv6xgkxy53bzczadjmsnwlzmq6m7nje,0.8392857142857143,BorrowPrediction,5-14,"{'ss': 'bafkreic7astxwnp5ci4jiim3qwqes7uz2sfo3syx2dqfjhuww7xksdz3nq', 'le': 'bafkreibzscgshq42slwii4ney54sqv75mixfzzmq3hyhonqzfzbauwu4hy'}","{'stratify': False, 'filter_cols': [49, 64, 65, 48, 33, 32, 16, 34, 1, 39, 9, 17, 0, 18, 22, 2, 30, 78, 56, 8], 'smote': True}","{'model_name': 'DecisionTreeClassifier', 'params': ""{'random_state': 42}"", 'index': 130}"
V05,bafkreibvivzqlwjqzradtbqem25a2r37yp5uakudrgngnaa7aawphx2mea,0.8392857142857143,BorrowPrediction,5-14,"{'ss': 'bafkreic7astxwnp5ci4jiim3qwqes7uz2sfo3syx2dqfjhuww7xksdz3nq', 'le': 'bafkreibzscgshq42slwii4ney54sqv75mixfzzmq3hyhonqzfzbauwu4hy'}","{'stratify': False, 'filter_cols': [49, 64, 65, 48, 33, 32, 16, 34, 1, 39, 9, 17, 0, 18, 22, 2, 30, 78, 56, 8], 'smote': True}","{'model_name': 'DecisionTreeClassifier', 'params': ""{'random_state': 42}"", 'index': 77}"
V05,bafybeiefjfdqzzch4ceb2miwkwffdwn5vutjrlhqi7es234mq4loq32fzq,0.8392857142857143,BorrowPrediction,5-14,"{'ss': 'bafkreic7astxwnp5ci4jiim3qwqes7uz2sfo3syx2dqfjhuww7xksdz3nq', 'le': 'bafkreibzscgshq42slwii4ney54sqv75mixfzzmq3hyhonqzfzbauwu4hy'}","{'stratify': False, 'filter_cols': [49, 64, 65, 48, 33, 32, 16, 34, 1, 39, 9, 17, 0, 18, 22, 2, 30, 78, 56, 8], 'smote': True}","{'model_name': 'DecisionTreeClassifier', 'params': ""{'random_state': 42}"", 'index': 290}"
V05,bafkreigyoww4rgbd2zx5ngpf2aih5dd4fvewhgcukq56yg6utcdxgjclju,0.8392857142857143,BorrowPrediction,5-14,"{'ss': 'bafkreic7astxwnp5ci4jiim3qwqes7uz2sfo3syx2dqfjhuww7xksdz3nq', 'le': 'bafkreibzscgshq42slwii4ney54sqv75mixfzzmq3hyhonqzfzbauwu4hy'}","{'stratify': False, 'filter_cols': [49, 64, 65, 48, 33, 32, 16, 34, 1, 39, 9, 17, 0, 18, 22, 2, 30, 78, 56, 8], 'smote': True}","{'model_name': 'DecisionTreeClassifier', 'params': ""{'random_state': 42}"", 'index': 76}"
V05,bafkreib36yc3ueii6o3vx46a7c3gczbq47gys73pympul2e2uu77svyyxq,0.8392857142857143,BorrowPrediction,5-14,"{'ss': 'bafkreic7astxwnp5ci4jiim3qwqes7uz2sfo3syx2dqfjhuww7xksdz3nq', 'le': 'bafkreibzscgshq42slwii4ney54sqv75mixfzzmq3hyhonqzfzbauwu4hy'}","{'stratify': False, 'filter_cols': [49, 64, 65, 48, 33, 32, 16, 34, 1, 39, 9, 17, 0, 18, 22, 2, 30, 78, 56, 8], 'smote': True}","{'model_name': 'DecisionTreeClassifier', 'params': ""{'random_state': 42}"", 'index': 157}"
V05,bafkreibk632aik2t57htrra2sodeocic5i4a7jbhzxvam6yxk4mcodswju,0.8303571428571429,BorrowPrediction,5-14,"{'ss': 'bafkreic7astxwnp5ci4jiim3qwqes7uz2sfo3syx2dqfjhuww7xksdz3nq', 'le': 'bafkreibzscgshq42slwii4ney54sqv75mixfzzmq3hyhonqzfzbauwu4hy'}","{'stratify': False, 'filter_cols': [49, 64, 65, 48, 33, 32, 16, 34, 1, 39, 9, 17, 0, 18, 22, 2, 30, 78, 56, 8], 'smote': True}","{'model_name': 'DecisionTreeClassifier', 'params': ""{'random_state': 42}"", 'index': 35}"
V05,bafkreic2qyw2ce5qdpjns3nlwox7m7nh6rz5xnkcelz7adagn4ndhzcvdm,0.8303571428571429,BorrowPrediction,5-14,"{'ss': 'bafkreic7astxwnp5ci4jiim3qwqes7uz2sfo3syx2dqfjhuww7xksdz3nq', 'le': 'bafkreibzscgshq42slwii4ney54sqv75mixfzzmq3hyhonqzfzbauwu4hy'}","{'stratify': False, 'filter_cols': [49, 64, 65, 48, 33, 32, 16, 34, 1, 39, 9, 17, 0, 18, 22, 2, 30, 78, 56, 8], 'smote': True}","{'model_name': 'DecisionTreeClassifier', 'params': ""{'random_state': 42}"", 'index': 72}"
V05,bafybeigeo5tdev4k3ag2rursjqoddc72d7yjubajsre3za7utak2cnp6ym,0.8303571428571429,BorrowPrediction,5-14,"{'ss': 'bafkreic7astxwnp5ci4jiim3qwqes7uz2sfo3syx2dqfjhuww7xksdz3nq', 'le': 'bafkreibzscgshq42slwii4ney54sqv75mixfzzmq3hyhonqzfzbauwu4hy'}","{'stratify': False, 'filter_cols': [49, 64, 65, 48, 33, 32, 16, 34, 1, 39, 9, 17, 0, 18, 22, 2, 30, 78, 56, 8], 'smote': True}","{'model_name': 'DecisionTreeClassifier', 'params': ""{'random_state': 42}"", 'index': 431}"
